,20151231,20160331,20160630,20160930,20161230,20170331,20170630,20170929,20171229,20180330,20180629,20180928,20181228,20190329,20190628,20190930,20191231,20200331,20200630,20200930
265,601601.SH,000728.SZ,000792.SZ,601106.SH,601601.SH,600674.SH,600570.SH,601611.SH,000776.SZ,603993.SH,601727.SH,601727.SH,601766.SH,601992.SH,601766.SH,601766.SH,002939.SZ,603986.SH,600977.SH,600977.SH
266,601800.SH,002673.SZ,300017.SZ,600704.SH,601607.SH,600685.SH,600583.SH,601618.SH,000783.SZ,000100.SZ,601766.SH,601766.SH,601788.SH,601997.SH,601788.SH,601788.SH,002945.SZ,603160.SH,603019.SH,603019.SH
267,002399.SZ,600005.SH,601555.SH,601628.SH,601608.SH,600688.SH,600585.SH,601628.SH,000792.SZ,002202.SZ,601788.SH,601788.SH,601800.SH,601998.SH,601800.SH,601800.SH,002958.SZ,300433.SZ,300413.SZ,300413.SZ
268,002241.SZ,601021.SH,601808.SH,002294.SZ,601611.SH,600690.SH,600588.SH,601633.SH,000826.SZ,601099.SH,601800.SH,601800.SH,601808.SH,603156.SH,601808.SH,601808.SH,300003.SZ,603799.SH,300408.SZ,300408.SZ
269,600663.SH,601633.SH,600887.SH,002129.SZ,601618.SH,601618.SH,600606.SH,601668.SH,000839.SZ,601155.SH,601808.SH,601808.SH,601818.SH,603160.SH,601818.SH,601818.SH,300015.SZ,601212.SH,601881.SH,601881.SH
270,600549.SH,601718.SH,600036.SH,600022.SH,601628.SH,601628.SH,600637.SH,601669.SH,000858.SZ,601989.SH,601818.SH,601818.SH,601828.SH,603259.SH,601828.SH,601828.SH,300017.SZ,600977.SH,603833.SH,603833.SH
271,600157.SH,601766.SH,000425.SZ,601992.SH,601633.SH,601633.SH,600649.SH,601688.SH,000876.SZ,002714.SZ,601828.SH,601828.SH,601838.SH,603260.SH,601838.SH,601838.SH,300024.SZ,603019.SH,002841.SZ,002841.SZ
272,601186.SH,600018.SH,600406.SH,300124.SZ,601668.SH,601668.SH,600660.SH,601718.SH,000895.SZ,000001.SZ,601838.SH,601838.SH,601857.SH,603288.SH,601857.SH,601857.SH,300033.SZ,300413.SZ,603501.SH,603501.SH
273,000039.SZ,600031.SH,600703.SH,600666.SH,601669.SH,601669.SH,600663.SH,601727.SH,000898.SZ,600893.SH,601857.SH,601857.SH,601877.SH,603799.SH,601877.SH,601877.SH,300059.SZ,300408.SZ,300601.SZ,300601.SZ
274,600118.SH,601898.SH,600578.SH,000503.SZ,601688.SH,601688.SH,600674.SH,601766.SH,000938.SZ,600895.SH,601866.SH,601866.SH,601878.SH,603833.SH,601878.SH,601878.SH,300070.SZ,601881.SH,300498.SZ,300498.SZ
275,002410.SZ,000540.SZ,300059.SZ,601117.SH,601718.SH,601718.SH,600682.SH,601788.SH,000959.SZ,600406.SH,601877.SH,601877.SH,601881.SH,603858.SH,601881.SH,601881.SH,300122.SZ,603833.SH,601108.SH,601108.SH
276,600373.SH,000826.SZ,300085.SZ,000800.SZ,601727.SH,601727.SH,600685.SH,601800.SH,000961.SZ,601216.SH,601878.SH,601878.SH,601888.SH,603986.SH,601888.SH,601888.SH,300124.SZ,002841.SZ,300628.SZ,300628.SZ
277,600166.SH,600547.SH,002673.SZ,601328.SH,601766.SH,601766.SH,600688.SH,601818.SH,000963.SZ,601800.SH,601881.SH,601881.SH,601898.SH,603993.SH,601898.SH,601898.SH,300136.SZ,603501.SH,601155.SH,601155.SH
278,603288.SH,002142.SZ,601727.SH,600737.SH,601788.SH,601788.SH,600690.SH,601857.SH,000983.SZ,000627.SZ,601888.SH,601888.SH,601899.SH,000001.SZ,601899.SH,601899.SH,300142.SZ,300498.SZ,001979.SZ,001979.SZ
279,600029.SH,600804.SH,601633.SH,000002.SZ,601800.SH,601800.SH,600703.SH,601866.SH,001979.SZ,600068.SH,601898.SH,601898.SH,601901.SH,000002.SZ,601901.SH,601901.SH,300144.SZ,601108.SH,603260.SH,603260.SH
280,601166.SH,600010.SH,000977.SZ,300146.SZ,601818.SH,601818.SH,600704.SH,601872.SH,002007.SZ,601611.SH,601899.SH,601899.SH,601919.SH,000063.SZ,601919.SH,601919.SH,300347.SZ,601155.SH,600025.SH,600025.SH
281,002304.SZ,603993.SH,002475.SZ,601288.SH,601857.SH,601857.SH,600705.SH,601877.SH,002008.SZ,000983.SZ,601901.SH,601901.SH,601933.SH,000069.SZ,601933.SH,601933.SH,300408.SZ,001979.SZ,600968.SH,600968.SH
282,600873.SH,600999.SH,600050.SH,600016.SH,601866.SH,601866.SH,600718.SH,601881.SH,002024.SZ,601766.SH,601919.SH,601919.SH,601939.SH,000100.SZ,601939.SH,601939.SH,300413.SZ,603260.SH,002939.SZ,002939.SZ
283,600111.SH,600795.SH,300070.SZ,002202.SZ,601872.SH,601872.SH,600737.SH,601888.SH,002027.SZ,002424.SZ,601933.SH,601933.SH,601985.SH,000157.SZ,601985.SH,601985.SH,300433.SZ,600025.SH,002945.SZ,002945.SZ
284,300146.SZ,000063.SZ,300015.SZ,600406.SH,601877.SH,601877.SH,600739.SH,601899.SH,002044.SZ,002841.SZ,601939.SH,601939.SH,601988.SH,000166.SZ,601988.SH,601988.SH,300498.SZ,600968.SH,002958.SZ,002958.SZ
285,300251.SZ,601555.SH,000729.SZ,601818.SH,601888.SH,601888.SH,600741.SH,601901.SH,002065.SZ,601398.SH,601958.SH,601958.SH,601989.SH,000333.SZ,601989.SH,601989.SH,600000.SH,002939.SZ,601577.SH,601577.SH
286,002500.SZ,600029.SH,300251.SZ,600340.SH,601899.SH,601899.SH,600795.SH,601919.SH,002074.SZ,002465.SZ,601985.SH,601985.SH,601991.SH,000338.SZ,601992.SH,601992.SH,600004.SH,002945.SZ,600928.SH,600928.SH
287,000063.SZ,000629.SZ,600352.SH,300002.SZ,601901.SH,601901.SH,600804.SH,601933.SH,002081.SZ,600570.SH,601988.SH,601988.SH,601992.SH,000402.SZ,601997.SH,601997.SH,600009.SH,002958.SZ,002916.SZ,002916.SZ
288,601333.SH,000415.SZ,600008.SH,002673.SZ,601919.SH,601919.SH,600816.SH,601939.SH,002142.SZ,000898.SZ,601989.SH,601989.SH,601997.SH,000408.SZ,601998.SH,601998.SH,600010.SH,601577.SH,601066.SH,601066.SH
289,600208.SH,601998.SH,000027.SZ,000061.SZ,601928.SH,601928.SH,600820.SH,601958.SH,002146.SZ,300124.SZ,601991.SH,601991.SH,601998.SH,000413.SZ,603019.SH,603019.SH,600011.SH,600928.SH,601236.SH,601236.SH
290,600718.SH,000100.SZ,000800.SZ,600873.SH,601933.SH,601933.SH,600827.SH,601966.SH,002153.SZ,002007.SZ,601992.SH,601992.SH,603156.SH,000415.SZ,603156.SH,603156.SH,600015.SH,002916.SZ,603259.SH,603259.SH
